status_id,created_at,source,is_quote,is_retweet,display_text_width,favorite_count,reply_to_screen_name,date,year,month,week,wday,hour,month_year
x892785891055468548,2017-08-02T16:35:18Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-02,2017,Aug,31,Wed,12,Aug-2017
x892804872390795264,2017-08-02T17:50:43Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-02,2017,Aug,31,Wed,13,Aug-2017
x892820785823404032,2017-08-02T18:53:57Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-02,2017,Aug,31,Wed,14,Aug-2017
x892926762933506048,2017-08-03T01:55:04Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-02,2017,Aug,31,Wed,21,Aug-2017
x892953788679692288,2017-08-03T03:42:28Z,Twitter for iPhone,FALSE,FALSE,100,102,NA,2017-08-02,2017,Aug,31,Wed,23,Aug-2017
x893144377215922176,2017-08-03T16:19:48Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-03,2017,Aug,31,Thu,12,Aug-2017
x893145112435404801,2017-08-03T16:22:43Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-03,2017,Aug,31,Thu,12,Aug-2017
x893229989897830405,2017-08-03T21:59:59Z,Twitter for iPhone,FALSE,TRUE,121,0,NA,2017-08-03,2017,Aug,31,Thu,17,Aug-2017
x893230613871951873,2017-08-03T22:02:28Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-03,2017,Aug,31,Thu,18,Aug-2017
x893230900837838848,2017-08-03T22:03:36Z,Twitter for iPhone,FALSE,TRUE,148,0,NA,2017-08-03,2017,Aug,31,Thu,18,Aug-2017
x893290630339850242,2017-08-04T02:00:57Z,Twitter for iPhone,TRUE,FALSE,22,54,NA,2017-08-03,2017,Aug,31,Thu,22,Aug-2017
x893310782921994241,2017-08-04T03:21:02Z,Twitter for iPhone,FALSE,TRUE,62,0,NA,2017-08-03,2017,Aug,31,Thu,23,Aug-2017
x893312720090669056,2017-08-04T03:28:44Z,Twitter for iPhone,FALSE,FALSE,138,15,mike_shope,2017-08-03,2017,Aug,31,Thu,23,Aug-2017
x893318788787175424,2017-08-04T03:52:50Z,Twitter for iPhone,FALSE,FALSE,102,137,NA,2017-08-03,2017,Aug,31,Thu,23,Aug-2017
x893318908970766336,2017-08-04T03:53:19Z,Twitter for iPhone,FALSE,FALSE,132,185,NA,2017-08-03,2017,Aug,31,Thu,23,Aug-2017
x893323717731901440,2017-08-04T04:12:26Z,Twitter for iPhone,FALSE,FALSE,136,9,rosemary918,2017-08-04,2017,Aug,31,Fri,0,Aug-2017
x893333475578843136,2017-08-04T04:51:12Z,Twitter for iPhone,FALSE,TRUE,114,0,NA,2017-08-04,2017,Aug,31,Fri,0,Aug-2017
x893333904689680384,2017-08-04T04:52:54Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-04,2017,Aug,31,Fri,0,Aug-2017
x893472515728781312,2017-08-04T14:03:42Z,Twitter for iPhone,FALSE,TRUE,140,0,NA,2017-08-04,2017,Aug,31,Fri,10,Aug-2017
x893477995767353344,2017-08-04T14:25:28Z,Twitter for iPhone,FALSE,FALSE,103,459,NA,2017-08-04,2017,Aug,31,Fri,10,Aug-2017
x893478732245209089,2017-08-04T14:28:24Z,Twitter Web Client,FALSE,FALSE,144,25,NA,2017-08-04,2017,Aug,31,Fri,10,Aug-2017
x893478968451624962,2017-08-04T14:29:20Z,Twitter Web Client,FALSE,FALSE,102,14,NA,2017-08-04,2017,Aug,31,Fri,10,Aug-2017
x893486611035561985,2017-08-04T14:59:42Z,Twitter for iPhone,FALSE,TRUE,148,0,NA,2017-08-04,2017,Aug,31,Fri,10,Aug-2017
