"status_id","created_at","user_id","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","senator"
"x967177925354246144",2018-02-23 23:22:41,"x171598736","SenBobCasey","Really @SenateGOP? Apparently even the bare minimum is too much for the leadership of @SenateGOP when it comes to restricting access to deadly military-style assault weapons. It’s time to act.  https://t.co/5EZ1L1z6pl","Twitter for iPhone",217,,,,FALSE,FALSE,558,199,,,"cnn.com/2018/02/23/pol…","https://t.co/5EZ1L1z6pl","https://www.cnn.com/2018/02/23/politics/john-cornyn-gun-age/index.html",,,,,,,,,"x14344823 14344823","SenateGOP SenateGOP","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x967154220477698050",2018-02-23 21:48:29,"x171598736","SenBobCasey","Putin  is not an ally or a mere “competitor” and halfhearted rebukes are not enough. Mr. Putin must be condemned by name for being complicit in the horrors of the Syrian conflict.","Twitter for iPhone",179,"x967154218003042306","x171598736","SenBobCasey",FALSE,FALSE,211,50,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x967154218003042306",2018-02-23 21:48:29,"x171598736","SenBobCasey","It’s far past time that @realDonaldTrump hold Vladimir Putin and the Russian Federation accountable for their behavior in Syria.","Twitter for iPhone",128,,,,FALSE,FALSE,743,162,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x967048077717721094",2018-02-23 14:46:43,"x171598736","SenBobCasey","This must change. https://t.co/LIpYrqgu2h","Twitter Web Client",41,,,,FALSE,FALSE,659,169,,,"medium.com/@SenBobCasey/t…","https://t.co/LIpYrqgu2h","https://medium.com/@SenBobCasey/this-must-change-6dd4bdbef021",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x966766735742394368",2018-02-22 20:08:46,"x171598736","SenBobCasey","RT @RonWyden: American steel producers are forced to compete with under-priced &amp; subsidized foreign steel - @realDonaldTrump is failing to…","TweetDeck",143,,,,FALSE,TRUE,0,144,,,,,,,,,,,,,,"x250188760 25073877","RonWyden realDonaldTrump","en",,,,,,,,,,,,,,,,"x966764542570127360","American steel producers are forced to compete with under-priced &amp; subsidized foreign steel - @realDonaldTrump is failing to deliver a solution for steelworkers, and communities are suffering. Read my Op-Ed with @SenBobCasey: https://t.co/O5vnq9dgQg",2018-02-22 20:00:03,,294,"x250188760","RonWyden","Ron Wyden",391558,398,6017,"Oregon","U.S. Senator from Oregon. @SenateFinance Ranking Member. Follow @WydenPress for updates from my staff. Instagram: https://t.co/a6CyBjcD79",TRUE,,,,,,,,,,"Casey"
"x966762647386558464",2018-02-22 19:52:31,"x171598736","SenBobCasey","""Now we know where the tax cut is going: Share buybacks"" https://t.co/b73zpKMDxn","Twitter Web Client",80,,,,FALSE,FALSE,189,101,,,"on.mktw.net/2Cc32wI","https://t.co/b73zpKMDxn","http://on.mktw.net/2Cc32wI",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x966738489185325057",2018-02-22 18:16:31,"x171598736","SenBobCasey","If the GOP had adopted my amendment, workers would have seen a wage increase commensurate with any increase in executive compensation, stock buybacks and dividends payments.","Twitter Web Client",173,"x966738487876751360","x171598736","SenBobCasey",FALSE,FALSE,196,62,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x966738487876751360",2018-02-22 18:16:31,"x171598736","SenBobCasey","In the case of Wells Fargo, had they split the $22.6 billion in stock buybacks with their U.S. employees, bank tellers and call center workers could have received ~$42,000. Instead, the full $22.6 billion will go to shareholders; I had an amendment that would have prevented this.","Twitter Web Client",280,"x966738486375190528","x171598736","SenBobCasey",FALSE,FALSE,209,97,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x966738486375190528",2018-02-22 18:16:30,"x171598736","SenBobCasey","Just as expected, big corporations and their super-rich shareholders are seeing massive windfalls from the GOP tax scam. https://t.co/zuc9Gs5d8V","Twitter Web Client",144,,,,FALSE,FALSE,587,410,,,"axios.com/113-companies-…","https://t.co/zuc9Gs5d8V","https://www.axios.com/113-companies-announce-stock-buybacks-1519158953-2c1d231d-3160-4301-8b9e-cb343620f190.html",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
"x966702642729832449",2018-02-22 15:54:05,"x171598736","SenBobCasey","I oppose this step taken by @AjitPaiFCC and the @FCC majority and have cosponsored @SenMarkey's CRA resolution to overturn the Administration’s plan to dismantle #NetNeutrality protections. https://t.co/Yn6Rgpr8Yw","Twitter Web Client",189,,,,TRUE,FALSE,473,221,"NetNeutrality",,"twitter.com/MClyburnFCC/st…","https://t.co/Yn6Rgpr8Yw","https://twitter.com/MClyburnFCC/status/966674932158562305",,,,,,,,,"x575658149 66369206 21406834","AjitPaiFCC FCC SenMarkey","en","x966674932158562305","Today it is official: @FCC majority has taken the next step in handing the keys to the internet over to billion-dollar #broadband providers by publishing the #NetNeutrality repeal order in the Federal Register. My full statement: https://t.co/AMJmu7ANXO",2018-02-22 14:03:58,,354,352,"x2260619350","MClyburnFCC","Mignon Clyburn",28647,279,1715,"Washington, DC","The official Twitter Page of Commissioner Mignon Clyburn at the Federal Communications Commission.  RT & Follow does not imply endorsement.",TRUE,,,,,,,,,,,,,,,,,,,,,,,,"Casey"
